age,sleep_hours,morning_freshness,screen_time,use_phone_before_sleep,stress_level,phone_anxiety,health_app_use,sleep_quality,phone_affects_sleep,screen_sleep_ratio,age_group,sleep_category,morning_freshness_encoded,use_phone_before_sleep_encoded,phone_anxiety_encoded,health_app_use_encoded,sleep_quality_encoded,phone_affects_sleep_encoded,age_scaled,sleep_hours_scaled,screen_time_scaled,stress_level_scaled,screen_sleep_ratio_scaled
47,5.0,sometimes,8.0,yes,7,no,no,good,no,1.6,36-50,very_low,1,1,0,0,1,0,0.8,0.2631578947368421,0.35135135135135137,0.6666666666666665,0.17948717948717952
50,8.0,yes,3.0,no,5,no,yes,good,no,0.375,36-50,adequate,2,0,0,1,1,0,0.875,0.5789473684210527,0.08108108108108109,0.4444444444444445,0.02243589743589744
54,8.0,no,3.0,no,6,no,no,good,no,0.375,50+,adequate,0,0,0,0,1,0,0.9750000000000001,0.5789473684210527,0.08108108108108109,0.5555555555555556,0.02243589743589744
37,10.0,no,6.0,yes,4,yes,yes,good,no,0.6,36-50,high,0,1,1,1,1,0,0.55,0.7894736842105263,0.24324324324324326,0.3333333333333333,0.05128205128205128
22,9.0,no,6.0,no,1,yes,yes,good,no,0.6666666666666666,19-25,adequate,0,0,1,1,1,0,0.17500000000000004,0.6842105263157894,0.24324324324324326,0.0,0.059829059829059825
48,6.0,sometimes,10.0,yes,6,yes,no,good,yes,1.6666666666666667,36-50,low,1,1,1,0,1,2,0.8250000000000002,0.3684210526315789,0.4594594594594595,0.5555555555555556,0.1880341880341881
54,8.0,sometimes,6.0,no,2,no,yes,good,no,0.75,50+,adequate,1,0,0,1,1,0,0.9750000000000001,0.5789473684210527,0.24324324324324326,0.1111111111111111,0.07051282051282053
19,7.0,yes,10.0,no,4,no,no,good,no,1.4285714285714286,19-25,low,2,0,0,0,1,0,0.10000000000000003,0.47368421052631576,0.4594594594594595,0.3333333333333333,0.1575091575091575
39,9.0,yes,2.0,no,1,no,no,good,no,0.2222222222222222,36-50,adequate,2,0,0,0,1,0,0.6000000000000001,0.6842105263157894,0.02702702702702703,0.0,0.0028490028490028435
26,7.0,no,9.0,yes,6,no,no,good,not sure,1.2857142857142858,26-35,low,0,1,0,0,1,1,0.275,0.47368421052631576,0.40540540540540543,0.5555555555555556,0.1391941391941392
54,8.0,sometimes,5.0,yes,3,yes,yes,good,no,0.625,50+,adequate,1,1,1,1,1,0,0.9750000000000001,0.5789473684210527,0.1891891891891892,0.2222222222222222,0.05448717948717949
32,8.0,yes,3.0,no,5,yes,no,good,no,0.375,26-35,adequate,2,0,1,0,1,0,0.42500000000000004,0.5789473684210527,0.08108108108108109,0.4444444444444445,0.02243589743589744
24,9.0,sometimes,2.0,yes,6,no,no,good,no,0.2222222222222222,19-25,adequate,1,1,0,0,1,0,0.2250000000000001,0.6842105263157894,0.02702702702702703,0.5555555555555556,0.0028490028490028435
28,10.0,no,5.0,yes,4,no,yes,good,no,0.5,26-35,high,0,1,0,1,1,0,0.32500000000000007,0.7894736842105263,0.1891891891891892,0.3333333333333333,0.038461538461538464
24,9.0,yes,4.0,yes,3,yes,no,good,no,0.4444444444444444,19-25,adequate,2,1,1,0,1,0,0.2250000000000001,0.6842105263157894,0.13513513513513514,0.2222222222222222,0.031339031339031334
43,7.0,sometimes,9.0,yes,6,yes,no,good,yes,1.2857142857142858,36-50,low,1,1,1,0,1,2,0.7,0.47368421052631576,0.40540540540540543,0.5555555555555556,0.1391941391941392
52,6.0,sometimes,8.0,no,3,yes,no,bad,not sure,1.3333333333333333,50+,low,1,0,1,0,0,1,0.925,0.3684210526315789,0.35135135135135137,0.2222222222222222,0.14529914529914528
21,4.0,yes,8.0,no,9,no,yes,bad,yes,2.0,19-25,very_low,2,0,0,1,0,2,0.15000000000000002,0.15789473684210525,0.35135135135135137,0.8888888888888888,0.23076923076923078
23,6.0,sometimes,10.0,yes,4,no,no,good,yes,1.6666666666666667,19-25,low,1,1,0,0,1,2,0.20000000000000007,0.3684210526315789,0.4594594594594595,0.3333333333333333,0.1880341880341881
48,8.0,yes,6.0,no,6,no,yes,good,no,0.75,36-50,adequate,2,0,0,1,1,0,0.8250000000000002,0.5789473684210527,0.24324324324324326,0.5555555555555556,0.07051282051282053
46,6.0,no,7.0,no,7,yes,no,good,not sure,1.1666666666666667,36-50,low,0,0,1,0,1,1,0.7750000000000001,0.3684210526315789,0.2972972972972973,0.6666666666666665,0.12393162393162395
19,8.0,yes,3.0,yes,2,no,yes,good,no,0.375,19-25,adequate,2,1,0,1,1,0,0.10000000000000003,0.5789473684210527,0.08108108108108109,0.1111111111111111,0.02243589743589744
37,6.0,yes,8.0,no,3,yes,yes,good,not sure,1.3333333333333333,36-50,low,2,0,1,1,1,1,0.55,0.3684210526315789,0.35135135135135137,0.2222222222222222,0.14529914529914528
47,5.0,sometimes,9.0,yes,7,no,yes,good,yes,1.8,36-50,very_low,1,1,0,1,1,2,0.8,0.2631578947368421,0.40540540540540543,0.6666666666666665,0.20512820512820518
25,7.0,no,6.0,no,5,yes,yes,bad,no,0.8571428571428571,19-25,low,0,0,1,1,0,0,0.25,0.47368421052631576,0.24324324324324326,0.4444444444444445,0.08424908424908426
39,8.0,no,4.0,yes,3,no,yes,good,no,0.5,36-50,adequate,0,1,0,1,1,0,0.6000000000000001,0.5789473684210527,0.13513513513513514,0.2222222222222222,0.038461538461538464
33,6.0,no,8.0,no,6,no,no,good,yes,1.3333333333333333,26-35,low,0,0,0,0,1,2,0.45000000000000007,0.3684210526315789,0.35135135135135137,0.5555555555555556,0.14529914529914528
21,5.0,yes,6.0,no,6,yes,no,bad,no,1.2,19-25,very_low,2,0,1,0,0,0,0.15000000000000002,0.2631578947368421,0.24324324324324326,0.5555555555555556,0.1282051282051282
20,9.0,sometimes,5.0,no,1,yes,yes,good,no,0.5555555555555556,19-25,adequate,1,0,1,1,1,0,0.125,0.6842105263157894,0.1891891891891892,0.0,0.04558404558404559
46,10.0,sometimes,3.0,yes,6,no,yes,good,no,0.3,36-50,high,1,1,0,1,1,0,0.7750000000000001,0.7894736842105263,0.08108108108108109,0.5555555555555556,0.012820512820512817
